# Timestep performance metrics.
# Lib: tenFlat_h_ins.res: For tenFlat_h_ins
# Period: Fri-05-Feb@00h30(1982) to Thu-11-Feb@23h30(1982) : sim@60m, output@60m
Time  AllAgrHeat(kW)
00h30       0.17
01h30       0.22
02h30       0.26
03h30       0.28
04h30       0.30
05h30       0.32
06h30       0.66
07h30       0.93
08h30       0.58
09h30       0.34
10h30       0.42
11h30       0.48
12h30       0.50
13h30       0.50
14h30       0.51
15h30       0.51
16h30       0.53
17h30       0.50
18h30       0.73
19h30       0.88
20h30       0.87
21h30       0.81
22h30       0.40
23h30       0.18
00h30       0.22
01h30       0.26
02h30       0.26
03h30       0.26
04h30       0.26
05h30       0.27
06h30       0.62
07h30       0.86
08h30       0.47
09h30       0.18
10h30       0.23
11h30       0.27
12h30       0.29
13h30       0.29
14h30       0.30
15h30       0.30
16h30       0.32
17h30       0.34
18h30       0.62
19h30       0.79
20h30       0.81
21h30       0.75
22h30       0.34
23h30       0.14
00h30       0.20
01h30       0.26
02h30       0.30
03h30       0.31
04h30       0.33
05h30       0.35
06h30       0.71
07h30       0.96
08h30       0.54
09h30       0.27
10h30       0.35
11h30       0.43
12h30       0.46
13h30       0.47
14h30       0.48
15h30       0.49
16h30       0.50
17h30       0.47
18h30       0.71
19h30       0.87
20h30       0.87
21h30       0.81
22h30       0.38
23h30       0.16
00h30       0.22
01h30       0.28
02h30       0.33
03h30       0.35
04h30       0.37
05h30       0.38
06h30       0.73
07h30       1.00
08h30       0.62
09h30       0.37
10h30       0.45
11h30       0.51
12h30       0.52
13h30       0.53
14h30       0.53
15h30       0.53
16h30       0.54
17h30       0.52
18h30       0.76
19h30       0.92
20h30       0.92
21h30       0.87
22h30       0.44
23h30       0.23
00h30       0.30
01h30       0.35
02h30       0.40
03h30       0.43
04h30       0.44
05h30       0.45
06h30       0.81
07h30       1.08
08h30       0.70
09h30       0.43
10h30       0.51
11h30       0.57
12h30       0.59
13h30       0.60
14h30       0.60
15h30       0.60
16h30       0.61
17h30       0.58
18h30       0.82
19h30       0.99
20h30       0.98
21h30       0.91
22h30       0.49
23h30       0.27
00h30       0.33
01h30       0.39
02h30       0.42
03h30       0.44
04h30       0.45
05h30       0.45
06h30       0.81
07h30       1.09
08h30       0.72
09h30       0.47
10h30       0.54
11h30       0.60
12h30       0.61
13h30       0.60
14h30       0.60
15h30       0.60
16h30       0.61
17h30       0.58
18h30       0.82
19h30       0.99
20h30       0.98
21h30       0.91
22h30       0.49
23h30       0.26
00h30       0.30
01h30       0.36
02h30       0.39
03h30       0.40
04h30       0.41
05h30       0.41
06h30       0.77
07h30       1.03
08h30       0.63
09h30       0.36
10h30       0.45
11h30       0.51
12h30       0.53
13h30       0.53
14h30       0.54
15h30       0.55
16h30       0.55
17h30       0.51
18h30       0.73
19h30       0.88
20h30       0.87
21h30       0.81
22h30       0.40
23h30       0.19
